"Name","Realms","Set","Types","Text","Archetype","Flavortext","Power","Costs","Rarity","CardID","Elemental","Nature","Void","Mortal","Divine","Cost_Sum","Prompt","Artwork 1","Artwork 2","Artwork 3","Artwork 4","Artwork 5","Artwork 6","Artwork 7","Artwork 8","Artwork 9","Artwork 10"
"Fallen Angel","Divine Void","1","Angel","Deploy: Gain Ward. Ally of Void: +4 Power. Ally of Divine: +4 Power.","Divine Void ","Cast from heaven, embraced by the void, her power surges where light and darkness intertwine.","4","D, D, V, V, ?, ?, ?","Rare","","","","Angel","","Angel","7","Fallen Angel, female, otherwordly glow, red and black wings, pale, red glowing eyes, white hair, black armor, corrupted, bloodrust, shadowy maelstrom in background","https://alpha.midjourney.com/jobs/65856a62-0cc5-4789-aeaa-4499b714d3e5?index=0","https://alpha.midjourney.com/jobs/9062fc96-38af-4b94-bb8b-58724ee3e784?index=3","https://alpha.midjourney.com/jobs/f0b193a4-3e5e-45a0-b6e9-a1b7fcfb4f49?index=2","https://alpha.midjourney.com/jobs/2593ed6f-b67a-4e7f-a8f9-a36157ed8f86?index=1","https://alpha.midjourney.com/jobs/bce13b19-a5b7-4895-991c-a343e7295bea?index=2","https://alpha.midjourney.com/jobs/0852a4f6-c4cd-4d01-a719-8673b0ba2f74?index=1","https://alpha.midjourney.com/jobs/d19499fa-993e-4909-94ee-2b9c8761e795?index=1","https://alpha.midjourney.com/jobs/93adb4ae-5796-400d-8a5b-0445ab93be6c?index=3","https://alpha.midjourney.com/jobs/cd0a04f4-a1cb-40f4-910e-eb46d3902255?index=0","https://alpha.midjourney.com/jobs/02764ac5-6b69-4645-b186-6ada5c5faed8?index=3"
"Ivoryscar Eclipsion","Divine Void","1","Angel Bannerbearer Demon","","","Where light meets shadow, purity clashes with malice, she stands, the ethereal balance of two worlds.","2","D, V","Common","","","","Angel Bannerbearer Demon","","Angel Bannerbearer Demon","2","eclipsion, duality, female, sad, otherwordly glow, black wings, pale skin, white gloves, white hair, black skirt, white corset, shadowy maelstrom in background","https://alpha.midjourney.com/jobs/219392dd-7217-4d08-88a4-07fe545e4e60?index=0","https://alpha.midjourney.com/jobs/faebf78e-524b-4699-86cf-5a06ec2912c9?index=0","https://alpha.midjourney.com/jobs/ff5ef09d-ca5a-4078-8295-e865d3f5ef86?index=1","https://alpha.midjourney.com/jobs/903c649b-d0e0-4b79-8d43-b2091e120243?index=3","https://alpha.midjourney.com/jobs/903c649b-d0e0-4b79-8d43-b2091e120243?index=0","https://alpha.midjourney.com/jobs/68687551-a06f-4550-bc88-6c49a58ac029?index=2","https://alpha.midjourney.com/jobs/ff5ef09d-ca5a-4078-8295-e865d3f5ef86?index=3","https://alpha.midjourney.com/jobs/804192d1-d6b1-471f-8286-b2c1ae535674?index=3","https://alpha.midjourney.com/jobs/c2526578-9eb7-4bfc-b6cd-0f981333543c?index=1","https://alpha.midjourney.com/jobs/12474128-0863-4da2-aff8-997b73fe9878?index=3"
"Ivoryscar Fatebreaker","Divine Void","2","Spirit","Deploy: Gain Ward. Choose one: - Cleanse an adjacent Unit. - Return an adjacent Unit to its Owner's Hand.","Control Copy ","My mission is one of compassion. I exist to end the agony of the mortally stricken, by guard or by gentle release.","6","D, D, V, V, ?, ?","Uncommon","","","","Spirit","","Spirit","6","","","","","","","","","","",""
"Kois of Duality","Divine Void","1","Animal Spirit","Deploy: Choose one: - Adjacent friendly Void Units gain +2 Power. - Adjacent friendly Divine Units gain +2 Power.","Divine Void ","Swimming through the celestial rift, it harmonizes the contrasting forces of divinity and abyss.","3","D, V, ?","Uncommon","","","","Animal Spirit","","Animal Spirit","3","kois of duality,two kois swimming in a circle, shaped like ying and yang, shadowy maelstrom in background","https://alpha.midjourney.com/jobs/e799950f-85b6-4223-b8ea-bc9ef93d3c23?index=1","https://alpha.midjourney.com/jobs/957a1f61-1c1b-4a33-82ab-c17bcc78d8f9?index=1","https://alpha.midjourney.com/jobs/957a1f61-1c1b-4a33-82ab-c17bcc78d8f9?index=0","https://alpha.midjourney.com/jobs/a05bda9e-586e-49de-8c32-0f6e47fd8831?index=2","https://alpha.midjourney.com/jobs/011a319f-3ec2-43a4-ae07-e31e88bbcfcf?index=2","https://alpha.midjourney.com/jobs/34302934-0ce2-4d12-9b6b-bcbfb2dd2748?index=0","https://alpha.midjourney.com/jobs/7515835a-18c0-492f-95bd-2b1b2539a4df?index=1","","",""
"Airstep Sifu","Elemental","2","Human","Ally of Spirit: Draw a Card and gain +2 Power.","Spirit ","With every step, a choice: draw from the well of knowledge or the wellspring of power.","2","E, ?, ?","Common","","Human","","","","","3","","","","","","","","","","",""
"Amberlock Dragonling","Elemental","1","Dragon","Ritual: Gain +4 Power.","Unearth ","Clutched in youthful talons lies a fragment of legend, making each hunt not just a pursuit for prey, but a dance with destiny.","2","E, ?","Uncommon","","Dragon","","","","","2","amberlock dragonling, baby dragon, climbing out of a dragon egg, cute, adorable, colorful","https://alpha.midjourney.com/jobs/31869c2e-79e0-44a2-bcb2-ef2489f226ad?index=3","https://alpha.midjourney.com/jobs/86e09484-75c2-4d9e-b33e-31faa3d4e251?index=2","https://alpha.midjourney.com/jobs/68e2c61d-f9ac-435e-8eb9-44ef82724758?index=1","https://alpha.midjourney.com/jobs/02a937b0-dc30-4b61-a80a-775950a47d1e?index=0","https://alpha.midjourney.com/jobs/f8926069-73ab-4045-b918-9cb77758a03b?index=3","https://alpha.midjourney.com/jobs/a02f660a-1dce-436f-acb5-465e63f5bbc5?index=1","https://alpha.midjourney.com/jobs/0e687280-8a8e-4bab-ba7e-71eecfd6f625?index=2","https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=3","https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=2","https://alpha.midjourney.com/jobs/750ed738-29ba-42b6-8f6f-d878ddac70d4?index=1"
"Arcanum Grandmaster","Elemental","2","Human Wizard","Deploy: Gains +2 Power for each other friendly Wizard Unit.","Wizard ","Under his watchful eye, talent flourishes; he is the guiding force behind a century of magical mastery.","4","E, ?, ?, ?, ?","Uncommon","","Human Wizard","","","","","5","","","","","","","","","","",""
"Auraborne Wyvern","Elemental","2","Dragon","Deploy: Unleash <E><E><E>: Gain Ward and glimpse 2.","Ramp ","Turns out, the key to air superiority was just a few enchantments and one very grumpy wyvern.","3","E, ?, ?","Common","","Dragon","","","","","3","","","","","","","","","","",""
"Blazecharm Kitsune","Elemental","2","Animal Spirit","Deploy: Move the top Card of your Opponent's Deck into an adjacent Slot and bury it (Deploy effects of that card are not triggered).","Control Move","With each flick of its tails, a new spark ignites, kindling mystic fires in the hearts of the brave.","2","E","Rare","","Animal Spirit","","","","","1","","","","","","","","","","",""
"Blood Moon Scarab","Elemental","1","Insect","Whenever a Unit in this Lane is unearthed, gain its Power.","Unearth ","","2","E, E, ?","Rare","","Insect","","","","","3","blood moon scarab, insect, scuttling around, ancient mountain ruins","https://alpha.midjourney.com/jobs/f076bedf-28b1-43a4-bdf8-5e57ad378122?index=3","https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=0","https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=2","https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=1","https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=2","https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=1","https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=2","https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=3","https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=2","https://alpha.midjourney.com/jobs/237ccf0b-0f9d-4e23-b6d4-df327207e61c?index=1"
"Boiling Blood Berserker","Elemental","2","Human Warrior","Deploy: Gain Fear. Ascend: Dragon.","Dragon Ascend ","His battle cry, a dragon's fury given voice.","3","E, ?, ?","Common","","Human Warrior","","","","","3","","","","","","","","","","",""
"Cavern Lindwurm","Elemental","1","Dragon","Ally of 5 or more Power: Gain Taunt and +3 Power.","","Where one dragon's roar shakes the cavern, two can bring mountains to their knees.","5","E, E, ?, ?, ?","Common","","Dragon","","","","","5","cavern lindwurm, celtic snake dragon in a dimly lit cave, cruel, olive colored pale blind and broken scales","https://alpha.midjourney.com/jobs/4cc82fb7-ff66-4625-86b9-bd6b6019e512?index=2","https://alpha.midjourney.com/jobs/172ae98b-46c0-4825-b85b-219a47dfecc0?index=2","https://alpha.midjourney.com/jobs/ab137782-70f1-4ba3-840a-49cf4fda7bbe?index=3","https://alpha.midjourney.com/jobs/2780038d-6258-4c7a-a5e0-700cdfe423f9?index=0","https://alpha.midjourney.com/jobs/20fb2d42-8fe0-4690-82e2-b7936769540e?index=1","https://alpha.midjourney.com/jobs/bb160c1d-6202-4543-88a9-152dadcce248?index=2","https://alpha.midjourney.com/jobs/42ab612c-d4a4-4640-b0eb-a0098355068a?index=2","https://alpha.midjourney.com/jobs/42ab612c-d4a4-4640-b0eb-a0098355068a?index=1","https://alpha.midjourney.com/jobs/da9010de-44c1-42bf-8bbc-f7eb026c1882?index=2","https://alpha.midjourney.com/jobs/bdfca501-4b58-4f97-83e7-bcf89c7e7f5e?index=0"
"Cheerful Pixies","Elemental","1","Spirit Wizard","Deploy: Another friendly Elemental Unit in this Lane gains Taunt and +1 Power.","Elemental ","With giggles and pranks, they lure foes closer, their laughter as entrancing as it is maddening.","1","E","Common","","Spirit Wizard","","","","","1","tiny fairy, mongolian, cheerful, with butterfly wings, in the forest, sitting in a flower, very small","https://alpha.midjourney.com/jobs/5af4932e-1176-4e5d-a15a-6e1142f73928?index=2","https://alpha.midjourney.com/jobs/e6e0a2be-8317-493d-9a2a-cb227f34a270?index=0","https://alpha.midjourney.com/jobs/a530c54d-e253-4627-adf2-00999c92b877?index=1","https://alpha.midjourney.com/jobs/05e7dc87-7c7f-400d-b1d6-3bce616d0bfb?index=0","https://alpha.midjourney.com/jobs/a0c2bdad-9975-4339-8646-d109edd1ea08?index=0","https://alpha.midjourney.com/jobs/e7a204c6-76d5-4cd7-9a02-e06393503315?index=2","https://alpha.midjourney.com/jobs/36d433e2-f591-4ea5-b62a-5cb266b18ca8?index=3","https://alpha.midjourney.com/jobs/e7a204c6-76d5-4cd7-9a02-e06393503315?index=0","https://alpha.midjourney.com/jobs/05e7dc87-7c7f-400d-b1d6-3bce616d0bfb?index=2","https://alpha.midjourney.com/jobs/b96d47c1-e03b-4dad-bc97-123945866ebe?index=3"
"Cinderguard Irregulars","Elemental","1","Human Warrior","","","In the ember's glow, hooded rebels rise, defying orders with fire in their eyes.","3","E, ?","Common","","Human Warrior","","","","","2","cinderguard irregulars, 2 ancient roman bandits, red hoods, waiting in ambush, hiding behind tree, careful, cautious","https://alpha.midjourney.com/jobs/b7bb5d22-b78d-4859-ab62-b8e907414ebf?index=1","https://alpha.midjourney.com/jobs/f605d05d-eca6-4ad3-8b9d-de3c34ab78f5?index=1","https://alpha.midjourney.com/jobs/021e9046-af64-4322-8e14-9b735bb77e33?index=3","https://alpha.midjourney.com/jobs/6a07ff77-26e4-4409-95e3-13b470abd6f9?index=1","https://alpha.midjourney.com/jobs/7dd032d6-0ed5-4d3f-926c-322526d5acea?index=3","https://alpha.midjourney.com/jobs/78be4041-6983-4fec-ac2f-158748bc0f07?index=1","https://alpha.midjourney.com/jobs/081fdde2-8231-41d5-aa5c-be3ff2f37b5d?index=2","https://alpha.midjourney.com/jobs/e641b986-4bf2-46ee-bff1-f15abfe257b6?index=0","https://alpha.midjourney.com/jobs/7f7e7244-f70d-4340-bc00-db8ba5869d51?index=0","https://alpha.midjourney.com/jobs/fe6e9b6c-1cca-4a3d-b1ff-7bb7fd6ebc36?index=0"
"Cinderguard Scribe","Elemental","1","Human","Deploy: Choose one: - Glimpse 1. - Gain +1 Power.","","From his quill flows the ink of revolution, as fiery as the red hoods that mark their cause.","1","E","Common","","Human","","","","","1","cinderguard scribe, red hood, sitting in chamber, writing on a pergament scroll with a feather","https://alpha.midjourney.com/jobs/d013a66e-19b4-4dec-ad91-83482b06319e?index=1","https://alpha.midjourney.com/jobs/f6b88e68-28ee-4a1b-9280-939e7e23c7ec?index=1","https://alpha.midjourney.com/jobs/f597e2fa-e022-4cff-be04-37c4d1d52ecb?index=3","https://alpha.midjourney.com/jobs/1ddd3864-3f10-431d-9dbe-3e4a143074c6?index=2","https://alpha.midjourney.com/jobs/65e663c8-cf04-4c54-9eb8-9755a000000b?index=2","https://alpha.midjourney.com/jobs/1af2a498-3786-4ad5-aef0-a5378f2dfbf2?index=3","https://alpha.midjourney.com/jobs/f9350fe6-d4bf-4a09-be2d-6d486b1be787?index=3","https://alpha.midjourney.com/jobs/6364f253-c9ef-441f-a5a5-5cd35f3f48b4?index=2","https://alpha.midjourney.com/jobs/6364f253-c9ef-441f-a5a5-5cd35f3f48b4?index=1","https://alpha.midjourney.com/jobs/7438c9cc-d782-4fee-9713-d3f301d7df3e?index=1"
"Daredevil Duo","Elemental","1","Dragon Human","Crystallize and Deploy: Another friendly Unit gains Taunt.","Ramp ","Where her courage leads, dragon fire follows - a ballet of blade and blaze, unmatched.","5","E, E, ?, ?, ?, ?","Common","","Dragon Human","","","","","6","daredevil duo, a dragon and a female asian pirate swordfighter wearing a red sash","https://alpha.midjourney.com/jobs/7e117333-a3b5-48ce-84fb-ea1d5889f52c?index=3","https://alpha.midjourney.com/jobs/97f8b1ac-677e-491b-803f-a08321d0a5b3?index=0","https://alpha.midjourney.com/jobs/9b9f1932-7b85-4dc2-b89b-c5db313881fe?index=1","https://alpha.midjourney.com/jobs/97d76fab-e567-498a-9cd5-fce2669c45a7?index=1","https://alpha.midjourney.com/jobs/e476fa49-0867-4ba0-b9df-543b391f48db?index=0","https://alpha.midjourney.com/jobs/c55ff963-8780-49f5-820d-fdb412bd03ab?index=3","https://alpha.midjourney.com/jobs/ecf46218-d382-4bbc-897b-729a460f33de?index=0","https://alpha.midjourney.com/jobs/02663ec4-f725-4dc6-b3bf-a41c24089531?index=2","https://alpha.midjourney.com/jobs/960b0142-dad3-4a5e-9497-c50337bfa517?index=0","https://alpha.midjourney.com/jobs/41adfac4-fb2e-4621-a9ff-3a8e7c83e591?index=3"
"Dewdrop Sprite","Elemental","1","Spirit","Whenever a friendly Elemental Unit is deployed adjacently, gain +2 Power.","Elemental ","In each glistening drop, a glint of magic, as fleeting and pure as morning's first light.","1","E, ?","Common","","Spirit","","","","","2","dewdrop sprite, mongolian fairy, in the mountains, wings made of dew drops","https://alpha.midjourney.com/jobs/f82cb067-a26e-43e4-a7b7-872ad83abf92?index=1","https://alpha.midjourney.com/jobs/8fbe44e4-705c-4ee4-adbc-6e435546facc?index=3","https://alpha.midjourney.com/jobs/bce87206-d1bc-4ae5-b2a8-99df10be783b?index=3","https://alpha.midjourney.com/jobs/bce87206-d1bc-4ae5-b2a8-99df10be783b?index=2","https://alpha.midjourney.com/jobs/a9cd8a18-681f-4ef7-927f-65a2d9169d26?index=0","https://alpha.midjourney.com/jobs/9f273a40-8ff4-4686-8521-a3d630b0eaf9?index=1","https://alpha.midjourney.com/jobs/7c0c6fe5-3d11-46e9-9fb2-27a3e4ad98d5?index=3","https://alpha.midjourney.com/jobs/7c0c6fe5-3d11-46e9-9fb2-27a3e4ad98d5?index=0","https://alpha.midjourney.com/jobs/e3dc4ec9-31d3-451f-b89d-f3942b80c042?index=2","https://alpha.midjourney.com/jobs/7a2e29fb-bd98-4d30-88b2-8bfee70c4a47?index=0"
"Diamond Phantom","Elemental","2","Spirit Undead","Crystallize: Gain Crystalborn. Deploy: You may crystallize an adjacent friendly Unit and deploy a friendly Spirit Crystal in that Slot.","Spirit Ramp ","In its ethereal form, the laws of existence bend, a testament to the enigmatic origins of the Shards of Beyond.","3","E, E, ?","Rare","","Spirit Undead","","","","","3","","","","","","","","","","",""
"Draconic Highpriest","Elemental","2","Dragon Wizard","Deploy: You may bury a friendly Dragon Unit to bury an enemy Unit with Power equal to or lower than that Dragon.","Dragon Control ","He weaves spells of domination, his draconic thralls a fearsome testament to the power of corrupted will.","3","E, E, ?, ?","Rare","","Dragon Wizard","","","","","4","","","","","","","","","","",""
"Dragon Egg","Elemental","1","Dragon","Ambush: A Player conquered this Lane this Turn.","Unearth Aggro ","Cracks in the egg foretell the birth of a legend, a creature born from flame and scale.","2","E","Common","","Dragon","","","","","1","stony egg with red scaled structure, in a large nest in the mountains","https://alpha.midjourney.com/jobs/a4c0044f-a986-4aa9-87bf-000b67966a4b?index=0","https://alpha.midjourney.com/jobs/1368b59f-6a3a-4f37-b704-dc0023c5a39b?index=0","https://alpha.midjourney.com/jobs/1368b59f-6a3a-4f37-b704-dc0023c5a39b?index=3","https://alpha.midjourney.com/jobs/3e4015d3-c57e-4d12-9ddb-df5fcfb9d19d?index=0","","","","","",""
"Dragonfire Warlock","Elemental","1","Human Wizard","Ally of Dragon: Unleash <E><E>: Bury an adjacent enemy Unit.","Dragon Ramp Control ","With incantations smoldering on his tongue, he breathes out not words, but the fire of dragons.","2","E, ?, ?","Uncommon","","Human Wizard","","","","","3","dragonfire warlock, bhuddist fire summoning warlock","https://alpha.midjourney.com/jobs/e1671c8d-c48c-402d-addf-9a0fccad1761?index=0","https://alpha.midjourney.com/jobs/ba533218-851c-4bf4-a8d6-1d40dd59d983?index=0","https://alpha.midjourney.com/jobs/01e8e033-593c-490d-a32f-a166ab8baa48?index=2","https://alpha.midjourney.com/jobs/5eca18e5-b521-4e2a-9848-bc98673ae4d2?index=0","https://alpha.midjourney.com/jobs/914ae491-f842-47a7-972e-d9a4a84c90f6?index=0","https://alpha.midjourney.com/jobs/50351124-cb8d-40c5-ba32-ab7ed7975d03?index=3","https://alpha.midjourney.com/jobs/9b90030e-860f-496a-a734-a45969d1b0dd?index=1","https://alpha.midjourney.com/jobs/54eedfaf-453e-4a49-bd5b-d4012761a293?index=1","https://alpha.midjourney.com/jobs/6e8217f3-8ac2-45b0-8dc4-ef5352b479ea?index=2","https://alpha.midjourney.com/jobs/12dd80f9-bb06-4d38-91d8-e146559471c0?index=0"
"Dragonwind Harbinger","Elemental","1","Spirit Wizard","Deploy: Draw the top Dragon of your Deck. Shuffle your Deck.","Dragon ","In his eerie lament lies the fate of worlds, a grim herald of the dragonfire that will consume all.","3","E, ?, ?, ?","Uncommon","","Spirit Wizard","","","","","4","wind harbinger, fire spirit searching the essence of ember, glowing skin, ghost, ephemeral, banshee, female, primeval, translucent, primal","https://alpha.midjourney.com/jobs/e4901e8f-dc64-4a32-8b4e-4db18f9edb34?index=2","https://alpha.midjourney.com/jobs/792d59ef-82cf-4773-9eb4-65105c9208ec?index=2","https://alpha.midjourney.com/jobs/61d71d29-7f19-4719-9f9d-b595a90e7eac?index=3","https://alpha.midjourney.com/jobs/8f47bfa6-8da8-478d-aba1-dff1a5520f1c?index=0","https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=3","https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=0","https://alpha.midjourney.com/jobs/53760255-c6fe-4c4c-ac76-95aa017993f9?index=1","https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=0","https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=3","https://alpha.midjourney.com/jobs/b5789562-2e2e-4ceb-8443-0ae424a3c7dd?index=3"
"Dustdance Efreet","Elemental","1","Spirit","Deploy: You may swap this with an adjacent enemy Unit.","","A sinister waltz in the dust, its dance is a trap for the unwary, a lure into the endless, shifting dunes.","3","E, E, ?, ?","Common","","Spirit","","","","","4","dust-elemental efreet, djinn, mongolian","https://alpha.midjourney.com/jobs/ccfe11ca-d68d-42dd-b1cd-d5aa6d3c9b8b?index=2","https://alpha.midjourney.com/jobs/ccfe11ca-d68d-42dd-b1cd-d5aa6d3c9b8b?index=0","https://alpha.midjourney.com/jobs/fdd4f64e-d836-4c8f-9358-77cc88394b13?index=1","https://alpha.midjourney.com/jobs/f309aeec-173a-46f1-b16b-f5f15141815a?index=0","https://alpha.midjourney.com/jobs/f309aeec-173a-46f1-b16b-f5f15141815a?index=2","https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=2","https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=0","https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=1","https://alpha.midjourney.com/jobs/1113a14a-e98b-4368-b526-2939a08de537?index=2","https://alpha.midjourney.com/jobs/2c70cf34-6786-4493-bc7e-731c0f15efba?index=1"
"Echo Beetle","Elemental","0","Construct Insect","Whenever a Unit is deployed adjacently, swap it with that Unit.","","Note: Observing the beetle, I feel observed in return. Its awareness hints at unseen depths in insect cognition.","2","E, ?","Uncommon","","Construct Insect","","","","","2","","","","","","","","","","",""
"Ember Whelp","Elemental","2","Dragon Spirit","Ascend: Dragon or Spirit. Deploy: Unleash <E><E><E>: Gain +3 Power.","Dragon Spirit Ramp Ascend ","Log #21: The whelp's playmates are not of flesh and scale but of spirit and air. It frolics with entities invisible to our eyes, a curious talent.","1","E, ?, ?","Common","","Dragon Spirit","","","","","3","","","","","","","","","","",""
"Floating Djinn","Elemental","2","Spirit","Start of your Turn: You may bury this to draw a Card.","Control ","Charged with storm's fury, he dances between thunder and lightning's embrace.","2","E, ?","Common","","Spirit","","","","","2","","","","","","","","","","",""
"Galeweaver","Elemental","1","Spirit","Deploy: Swap an adjacent friendly Unit with the top Card of your Deck.","","As guardian of the gales, her touch is both a soothing balm and a tempest's fury, a spirit as unpredictable as the wind.","5","E, E, ?, ?, ?, ?","Rare","","Spirit","","","","","6","galeweaver, wind spirit, fujin, kazakame, kamaitachi","https://alpha.midjourney.com/jobs/ded5b3c8-a989-40e4-8be3-5ac67cf41736?index=0","https://alpha.midjourney.com/jobs/7f5227db-8efa-4198-aad8-a7303c4834f9?index=0","https://alpha.midjourney.com/jobs/affa39b4-9e17-48c4-8895-78b1f433b9f7?index=0","https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=3","https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=0","https://alpha.midjourney.com/jobs/436c6169-6856-4831-9b5e-36c538fafa7c?index=3","https://alpha.midjourney.com/jobs/658a4dd0-bf6d-47e7-86d8-52ee52a8f214?index=2","https://alpha.midjourney.com/jobs/7bb8e808-62d2-41bb-8749-200a9089a3e9?index=2","https://alpha.midjourney.com/jobs/4ccb8031-ae89-47b6-a633-e16eac63166b?index=3","https://alpha.midjourney.com/jobs/7f81eb9e-f062-46de-9105-f93730a4e7fb?index=0"
"Gashopper","Elemental","1","Insect Wizard","Deploy: For each friendly Elemental Crystal, you may put a Card from your Hand to the bottom of your Deck and draw a Card.","Elemental ","Enhanced by sulfuric geysirs, each of its eyes sees another future.","4","E, E, ?, ?, ?, ?","Uncommon","","Insect Wizard","","","","","6","gashopper, grasshopper, insect druid, glowing eyes, energetic, bark skin, otherwordly, steaming body","https://alpha.midjourney.com/jobs/aa3828cc-da5b-44fd-a991-7dfa8d358eca?index=1","https://alpha.midjourney.com/jobs/bb66d639-f343-4845-af2a-5eb193006647?index=0","https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=0","https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=2","https://alpha.midjourney.com/jobs/4a4fcd20-cf99-4f08-98be-e4a9a21447fd?index=2","https://alpha.midjourney.com/jobs/edce3cff-dccc-4dd6-927a-c86b99379750?index=1","https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=1","https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=2","https://alpha.midjourney.com/jobs/0ac155c4-dccd-49ea-a6ba-b70dd8d8e9a3?index=2","https://alpha.midjourney.com/jobs/4675fbf5-6bfc-4c8a-9092-aaf4e3643f28?index=2"
"Glinteye Hoarder","Elemental","1","Dragon","Conquer: Draw 2 Cards and bury a friendly Crystal.","Control Aggro ","A dragon's passion for gold cast into living form.","5","E, E, ?, ?, ?","Uncommon","","Dragon","","","","","5","glinteye hoarder, golden dragon, dragon with golden scales, sitting on a pile of gems","https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=0","https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=2","https://alpha.midjourney.com/jobs/47e93cbb-0e71-491a-a49b-5685172b96b1?index=2","https://alpha.midjourney.com/jobs/c0bbf41e-da40-447a-8817-ba761c755907?index=1","https://alpha.midjourney.com/jobs/e27864a6-cc07-4984-b181-922b584c0d96?index=3","https://alpha.midjourney.com/jobs/0a1168a7-16a3-4022-b822-fd13a508a624?index=0","https://alpha.midjourney.com/jobs/e30e77bd-955e-4e8e-afe4-eae7161982c4?index=3","https://alpha.midjourney.com/jobs/eaad0536-abea-4999-883c-e3e793929cf4?index=3","https://alpha.midjourney.com/jobs/a3874385-0194-4c0f-ba14-08b4d7628a67?index=1","https://alpha.midjourney.com/jobs/8c585bc8-5180-439e-8adb-c3a47c0150fe?index=2"
"Hermit of the Horizon","Elemental","2","Wizard","Crystallize: If you control a Wizard Unit, glimpse 3.","Wizard Ramp ","In his lofty retreat, he communes with the winds of fate, a guardian of knowledge perched at the edge of the world.","5","E, ?, ?, ?, ?, ?","Uncommon","","Wizard","","","","","6","","","","","","","","","","",""
"Infernoblight","Elemental","1","Dragon Hunter","Deploy: Gain Fear. Whenever a friendly Dragon Unit is deployed adjacently, gain +1 Power, and draw a Card","Dragon ","In the whispers of night, they speak of Infernoblight, a fiery doom awaiting at time's edge, a scorching conclusion to all stories.","4","E, E, ?, ?, ?","Rare","","Dragon Hunter","","","","","5","Infernoblight, an ancient evil dragon burning down a roman city, hydra, giant, primeval, majestic","https://alpha.midjourney.com/jobs/33f7cc2c-e93d-4e2c-9b65-000f7fec5b4d?index=3","https://alpha.midjourney.com/jobs/d85c9fc4-fcbf-4427-9461-c7d69924fd22?index=3","https://alpha.midjourney.com/jobs/ded1343a-822d-4000-b96d-307220437a47?index=3","https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=2","https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=1","https://alpha.midjourney.com/jobs/3ece9766-fbca-4a9f-b43c-ceacdfd34356?index=0","https://alpha.midjourney.com/jobs/23146584-f12d-4df7-9044-bc3fddd5aed1?index=2","https://alpha.midjourney.com/jobs/e7c5e4fe-638b-4178-857e-6623f117ac1e?index=3","https://alpha.midjourney.com/jobs/d1d4e43a-6294-4cca-b9e9-a8a9b7c14773?index=2","https://alpha.midjourney.com/jobs/1b37b6ab-c626-42c3-a564-3b3f1a292370?index=3"
"Mirrorworld Bloodseeker","Elemental","2","Demon Spirit","Crystallize: Unleash <V><V><V>: Deploy this in an empty Slot. Deploy: Gain Taunt.","Ramp ","Unleash","3","E, ?, ?","Uncommon","","Demon Spirit","","","","","3","","","","","","","","","","",""
"Mountain Sage","Elemental","2","Plant Wizard","Deploy: Draw the top Wizard of your Deck. Shuffle your Deck.","Wizard ","Rooted in ancient wisdom and the earth's deep secrets, his knowledge is as vast as the mountains he embodies.","2","E, ?, ?","Uncommon","","Plant Wizard","","","","","3","","","","","","","","","","",""
