Name,Cardtype,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Omen Firefly,Unit,Elemental,2,Insect,Start of your Turn: You may bury this to obscure 2.,Obscure,1,E,Common,,,,,,,,,,,
Pixie Summoner,Unit,Elemental,2,Human Wizard,Deploy: Unleash <E><E>: Move an adjacent Unit. Gain Taunt.,Unleash,4,"E, ?, ?, ?",Common,,,,,,,,,,,
Pyretic Pet,Unit,Elemental,2,Dragon Wizard,Ally of Wizard: You may return the Ally to your Hand to deploy a Unit from your Hand.,"""'This is why we can't have nice things,' I muttered as the tapestries turned to ashes. My dragon's purr was the only reply, pleased with its redecoration.""",3,"E, E, ?",Rare,,,,,,,,,,,
Shifting Sands,Unit,Elemental,1,Spirit,"Ambush: This Turn, a Unit was deployed adjacently. Unearth: Move an adjacent Unit.",,3,"E, ?, ?, ?",Common,"shifting sands, mystical, ephemeral energies, dustdevil, desert elemental, whirlwind",https://alpha.midjourney.com/jobs/8b1af36f-4004-4f76-8321-39eadf6994de?index=1,https://alpha.midjourney.com/jobs/6b2dd4db-47bc-4351-b9cb-56165501015d?index=0,https://alpha.midjourney.com/jobs/04b6c714-4150-4b67-bc7b-3b77d214c80e?index=1,https://alpha.midjourney.com/jobs/fef152fe-a54f-4993-8c0b-bdc6b255ff50?index=1,https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=3,https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=2,https://alpha.midjourney.com/jobs/f4b87c3a-3e3c-48fa-b94a-c0514613a2cd?index=3,https://alpha.midjourney.com/jobs/cea0e01e-1930-45b5-b5c8-3ad52ddb3142?index=3,https://alpha.midjourney.com/jobs/ca73b5bd-6fc1-4339-9285-ae03c13a5f5d?index=0,https://alpha.midjourney.com/jobs/f43fb0f9-219d-46ea-84e7-cebd02ca67fd?index=3
Torii Spirit,Unit,Elemental,1,Construct Spirit,Deploy: Unleash <E><E><E>: Gain Fear and Taunt.,Unleash,3,"E, ?, ?",Uncommon,"torii spirit, spirit sitting ontop of a torii gate, yokai, ghost, ethereal, see-through, gentle, benevolent, cute, adorable, colorful",https://alpha.midjourney.com/jobs/855d9ad2-60fa-4317-90d5-dde695aa3863?index=2,https://alpha.midjourney.com/jobs/ef31c8de-f61e-4972-86e9-aa9f1831afd5?index=0,https://alpha.midjourney.com/jobs/8785718a-3cef-4d6b-adf4-3f611a3b965e?index=2,https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=1,https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=0,https://alpha.midjourney.com/jobs/677914ad-f8cb-4855-b453-f47da8640844?index=0,https://alpha.midjourney.com/jobs/0c2fcc58-1cd5-4e2c-9953-06ae99527acc?index=3,https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=3,https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=1,https://alpha.midjourney.com/jobs/11cea0b5-15f6-46ea-9c98-85147c5d0c1d?index=2
Red Crusader,Unit,Elemental,2,Warrior,"Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.",Crusader,2,"E, ?",Common,,,,,,,,,,,
Windkite Acolyte,Unit,Elemental,1,Human Wizard,Deploy: You may swap this with an adjacent friendly Unit and gain +2 Power.,"Soaring on ancient breezes, this acolyte wields the wisdom of the wind.",2,"E, ?, ?, ?",Common,"bhuddist monk, riding a huge kite, flying through the sky, kite attached to hís back",https://alpha.midjourney.com/jobs/ec1fb5cf-b226-482a-9fd2-005d6f927846?index=1,https://alpha.midjourney.com/jobs/c502c751-ced3-4cb3-aa77-ce7cf3c560d4?index=0,https://alpha.midjourney.com/jobs/15eb18a9-adcc-4ad5-bb1a-b9ca187fa7e5?index=1,https://alpha.midjourney.com/jobs/91bb5265-1010-4c14-8a17-c124ec7328be?index=3,https://alpha.midjourney.com/jobs/3459e7cd-50f2-4130-be4c-42546280c0e7?index=3,https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=1,https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=2,https://alpha.midjourney.com/jobs/1be84c96-df08-4398-88f9-09e5ad8ff402?index=2,https://alpha.midjourney.com/jobs/59d1a1e1-529a-4cc6-b261-fdc197b29a2b?index=1,https://alpha.midjourney.com/jobs/33065fbd-b99a-477c-aeda-1e82ea951a22?index=3
Blood Moon Scarab,Unit,Elemental,1,Insect,"Whenever a Unit in this Lane is unearthed, gain its Power.",,2,"E, E, ?",Rare,"blood moon scarab, insect, scuttling around, ancient mountain ruins",https://alpha.midjourney.com/jobs/f076bedf-28b1-43a4-bdf8-5e57ad378122?index=3,https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=0,https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=2,https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=1,https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=2,https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=1,https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=2,https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=3,https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=2,https://alpha.midjourney.com/jobs/237ccf0b-0f9d-4e23-b6d4-df327207e61c?index=1
Sand Witch,Unit,Elemental,2,Human Wizard,Ascend: Elemental.,Ascend,1,E,Common,,,,,,,,,,,
Shardhorde Galewhelp,Unit,Elemental,0,Dragon,Deploy: Unleash <E><E><E>: You may crystallize this and deploy another friendly Dragon Crystal into this Slot.,"In its youth, a mere gust; in its fury, a tempest – such is the nature of the Shardhorde's child.",3,"E, ?, ?",Common,,,,,,,,,,,
Amberlock Dragonling,Unit,Elemental,2,Dragon,Ritual: Gain +4 Power.,"Clutched in youthful talons lies a fragment of legend, making each hunt not just a pursuit for prey, but a dance with destiny.",2,"E, ?",Common,"amberlock dragonling, baby dragon, climbing out of a dragon egg, cute, adorable, colorful",https://alpha.midjourney.com/jobs/31869c2e-79e0-44a2-bcb2-ef2489f226ad?index=3,https://alpha.midjourney.com/jobs/86e09484-75c2-4d9e-b33e-31faa3d4e251?index=2,https://alpha.midjourney.com/jobs/68e2c61d-f9ac-435e-8eb9-44ef82724758?index=1,https://alpha.midjourney.com/jobs/02a937b0-dc30-4b61-a80a-775950a47d1e?index=0,https://alpha.midjourney.com/jobs/f8926069-73ab-4045-b918-9cb77758a03b?index=3,https://alpha.midjourney.com/jobs/a02f660a-1dce-436f-acb5-465e63f5bbc5?index=1,https://alpha.midjourney.com/jobs/0e687280-8a8e-4bab-ba7e-71eecfd6f625?index=2,https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=3,https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=2,https://alpha.midjourney.com/jobs/750ed738-29ba-42b6-8f6f-d878ddac70d4?index=1
Dragonfire Warlock,Unit,Elemental,1,Human Wizard,Ally of Dragon: Unleash <E><E>: Bury an adjacent enemy Unit.,"With incantations smoldering on his tongue, he breathes out not words, but the fire of dragons.",2,"E, ?, ?",Uncommon,"dragonfire warlock, bhuddist fire summoning warlock",https://alpha.midjourney.com/jobs/e1671c8d-c48c-402d-addf-9a0fccad1761?index=0,https://alpha.midjourney.com/jobs/ba533218-851c-4bf4-a8d6-1d40dd59d983?index=0,https://alpha.midjourney.com/jobs/01e8e033-593c-490d-a32f-a166ab8baa48?index=2,https://alpha.midjourney.com/jobs/5eca18e5-b521-4e2a-9848-bc98673ae4d2?index=0,https://alpha.midjourney.com/jobs/914ae491-f842-47a7-972e-d9a4a84c90f6?index=0,https://alpha.midjourney.com/jobs/50351124-cb8d-40c5-ba32-ab7ed7975d03?index=3,https://alpha.midjourney.com/jobs/9b90030e-860f-496a-a734-a45969d1b0dd?index=1,https://alpha.midjourney.com/jobs/54eedfaf-453e-4a49-bd5b-d4012761a293?index=1,https://alpha.midjourney.com/jobs/6e8217f3-8ac2-45b0-8dc4-ef5352b479ea?index=2,https://alpha.midjourney.com/jobs/12dd80f9-bb06-4d38-91d8-e146559471c0?index=0
Dragonwind Harbinger,Unit,Elemental,1,Spirit Wizard,Deploy: Draw the top Dragon of your Deck. Shuffle your Deck.,"In his eerie lament lies the fate of worlds, a grim herald of the dragonfire that will consume all.",3,"E, ?, ?, ?",Uncommon,"wind harbinger, fire spirit searching the essence of ember, glowing skin, ghost, ephemeral, banshee, female, primeval, translucent, primal",https://alpha.midjourney.com/jobs/e4901e8f-dc64-4a32-8b4e-4db18f9edb34?index=2,https://alpha.midjourney.com/jobs/792d59ef-82cf-4773-9eb4-65105c9208ec?index=2,https://alpha.midjourney.com/jobs/61d71d29-7f19-4719-9f9d-b595a90e7eac?index=3,https://alpha.midjourney.com/jobs/8f47bfa6-8da8-478d-aba1-dff1a5520f1c?index=0,https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=3,https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=0,https://alpha.midjourney.com/jobs/53760255-c6fe-4c4c-ac76-95aa017993f9?index=1,https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=0,https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=3,https://alpha.midjourney.com/jobs/b5789562-2e2e-4ceb-8443-0ae424a3c7dd?index=3
Sparkwielder,Unit,Elemental,2,Dragon Wizard,"Deploy: Reveal the top Card with an 'Unleash' ability from your Deck. Copy its 'Unleash' ability, then draw that Card.",Unleash,4,"E, E, ?, ?, ?",Rare,,,,,,,,,,,
Gashopper,Unit,Elemental,1,Insect Wizard,"Deploy: For each friendly Elemental Crystal, you may put a Card from your Hand to the bottom of your Deck and draw a Card.","Enhanced by sulfuric geysirs, each of its eyes sees another future.",4,"E, E, ?, ?, ?, ?",Uncommon,"gashopper, grasshopper, insect druid, glowing eyes, energetic, bark skin, otherwordly, steaming body",https://alpha.midjourney.com/jobs/aa3828cc-da5b-44fd-a991-7dfa8d358eca?index=1,https://alpha.midjourney.com/jobs/bb66d639-f343-4845-af2a-5eb193006647?index=0,https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=0,https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=2,https://alpha.midjourney.com/jobs/4a4fcd20-cf99-4f08-98be-e4a9a21447fd?index=2,https://alpha.midjourney.com/jobs/edce3cff-dccc-4dd6-927a-c86b99379750?index=1,https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=1,https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=2,https://alpha.midjourney.com/jobs/0ac155c4-dccd-49ea-a6ba-b70dd8d8e9a3?index=2,https://alpha.midjourney.com/jobs/4675fbf5-6bfc-4c8a-9092-aaf4e3643f28?index=2
Hailbringer,Unit,Elemental,2,Spirit,Deploy: Put an adjacent enemy Unit on the bottom of your Opponent's Deck. Move the top Card of your Opponent's Deck into that Slot.,"In his grasp, the calmest breeze becomes a maelstrom, a whirlwind of chaos at his command",5,"E, E, ?, ?, ?, ?",Rare,,,,,,,,,,,
Stormlash,Unit,Elemental,2,Dragon Hunter,Deploy: Unleash <E><E><E>: You may move all adjacent enemy Units.,"He is the tempest incarnate, a draconic force that reshapes landscapes with the mere beat of his wings.",4,"E, ?, ?, ?",Uncommon,,,,,,,,,,,
Stormworn Horn,Unit,Elemental,2,Dinosaur,"Ally of Elemental: Draw three Cards. At the End of this Turn, put three Cards from your Hand at the bottom of your Deck.","Rare is the sight of the horned earth-digger, a creature whose very existence challenges our understanding of the natural world. It uses its horn in a manner most ingenious, excavating the ground for hidden morsels.",3,"E, ?, ?, ?",Uncommon,,,,,,,,,,,
Glinteye Hoarder,Unit,Elemental,1,Dragon,Conquer: Draw 2 Cards and bury a friendly Crystal.,A dragon's passion for gold cast into living form.,5,"E, E, ?, ?, ?",Uncommon,"glinteye hoarder, golden dragon, dragon with golden scales, sitting on a pile of gems",https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=0,https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=2,https://alpha.midjourney.com/jobs/47e93cbb-0e71-491a-a49b-5685172b96b1?index=2,https://alpha.midjourney.com/jobs/c0bbf41e-da40-447a-8817-ba761c755907?index=1,https://alpha.midjourney.com/jobs/e27864a6-cc07-4984-b181-922b584c0d96?index=3,https://alpha.midjourney.com/jobs/0a1168a7-16a3-4022-b822-fd13a508a624?index=0,https://alpha.midjourney.com/jobs/e30e77bd-955e-4e8e-afe4-eae7161982c4?index=3,https://alpha.midjourney.com/jobs/eaad0536-abea-4999-883c-e3e793929cf4?index=3,https://alpha.midjourney.com/jobs/a3874385-0194-4c0f-ba14-08b4d7628a67?index=1,https://alpha.midjourney.com/jobs/8c585bc8-5180-439e-8adb-c3a47c0150fe?index=2
The Culling Claw,Unit,Elemental,2,Demon Dragon,"Crystallize: Gain Crystalborn. Whenever a Common Unit is deployed adjacently, bury it and gain its Power.",,3,"E, E, ?, ?",Rare,,,,,,,,,,,
Thunderfox,Unit,Elemental,2,Animal Spirit,Start of your Turn: You may bury this to give an adjacent friendly Unit +2 Power.,"Elusive as a spark in the storm, training it as a pet is a quest akin to capturing lightning itself.",3,"E, ?, ?",Common,,,,,,,,,,,
Raijin's Familiar,Unit,Elemental,1,Spirit,Deploy: Unleash <E><E><E>: You may move an adjacent Unit to any empty Slot on the Board.,Unleash,3,"E, ?, ?, ?",Uncommon,"small chinese snake, ephemeral, made out of steam, lightning, thunderstorm, white pelt, rushing, snakelike",https://alpha.midjourney.com/jobs/99049fea-fc5d-4752-b9db-6d8c91ccc8ae?index=2,https://alpha.midjourney.com/jobs/a57b5b64-f263-4fdf-af6b-1b93580bfe5e?index=0,https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=0,https://alpha.midjourney.com/jobs/7fc25a68-b33f-47f1-a6ec-9553717b1c97?index=1,https://alpha.midjourney.com/jobs/9f59a1ed-24af-4d99-acaa-6a2a05df2427?index=3,https://alpha.midjourney.com/jobs/8572f917-df31-4408-8707-1d30d6ca5130?index=2,https://alpha.midjourney.com/jobs/fb929c6c-57e6-433a-a266-d6503efa9f59?index=3,https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=1,https://alpha.midjourney.com/jobs/2ddb8064-c0f9-4c6e-bd7c-5450e649e0ba?index=0,https://alpha.midjourney.com/jobs/c9877abe-5367-4550-95bd-009c5ca1c395?index=2
Twin Thundertail,Unit,Elemental,2,Dragon Spirit,Ambush: A friendly Unit in this Lane unleashed this Turn. Unearth: Copy the 'Unleash' Ability of a friendly Unit in this Lane.,Unleash,4,"E, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Vengeful Gust,Unit,Elemental,2,Spirit,Deploy: Bury a friendly Unit with the lowest Power.,,5,"E, ?",Common,,,,,,,,,,,
Runecursed Wyvern,Unit,Elemental,1,Dragon Wizard,Deploy: Bury a friendly Crystal.,Empty Crystal,6,"E, E, ?, ?",Uncommon,"runecursed wyvern, blind, no eyes, black faceplate, drawing energy from the earth, burning runes etched into its scales",https://alpha.midjourney.com/jobs/304afcfd-7894-408f-9075-b9665b0da9bb?index=1,https://alpha.midjourney.com/jobs/3f700745-93e9-491e-b302-0f3b8129cd3a?index=3,https://alpha.midjourney.com/jobs/efc96ed0-d87b-4d29-bb86-f29795728bf8?index=2,https://alpha.midjourney.com/jobs/b6935539-efed-401f-850a-d485cb53a209?index=2,https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=3,https://alpha.midjourney.com/jobs/b1f8f3d5-445f-4c75-8c69-dc3c00dd6a2a?index=1,,,,
Skulloath Lootclaimer,Unit,Elemental,1,Human Hunter,Deploy: Bury a Crystal.,Empty Crystal,4,"E, E, ?, ?, ?",Uncommon,"human mongolian raider, skull-oath, looting, raiding, stealing gold",https://alpha.midjourney.com/jobs/b782234a-ae27-4ab3-a874-11519512ecce?index=1,https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=3,https://alpha.midjourney.com/jobs/bace0219-18ab-4fad-b1cf-6dd7f636ba09?index=1,https://alpha.midjourney.com/jobs/48fb748c-ced1-4a11-b902-08569b23ea3e?index=3,https://alpha.midjourney.com/jobs/648f33e0-f155-4776-b3ef-cb6a2da47ad2?index=0,https://alpha.midjourney.com/jobs/88722dbd-81e5-4a88-b7b1-4d119407e4eb?index=2,https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=2,https://alpha.midjourney.com/jobs/ac379b8f-0976-49e8-9984-afd4fa85d72d?index=0,https://alpha.midjourney.com/jobs/ce81bdef-692d-43ea-9dce-a4b313702bd0?index=2,https://alpha.midjourney.com/jobs/92e4fd9a-ec61-456e-ae1a-ccf89544238d?index=1
Spell Cat,Unit,Elemental,1,Animal Wizard,"Whenever a friendly Wizard is deployed adjacently, swap this with that Unit and give that Unit +2 Power.",Even a sorcerer's cold heart can't escape the affection of a black furball.,2,"E, ?",Uncommon,"spell cat, wizard cat sitting infront of a burning bookcase, magical cat, eyes reflecting fire",https://alpha.midjourney.com/jobs/23c28003-cb9d-4252-b47e-eb31b79c4746?index=3,https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=3,https://alpha.midjourney.com/jobs/c014fa78-9b56-4e92-9380-05f3c1bc63f2?index=0,https://alpha.midjourney.com/jobs/ea69db27-0094-46a2-957d-df9c6587cd8f?index=1,https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=3,https://alpha.midjourney.com/jobs/d8a56be5-0fe5-434b-a77a-b6146873ea1a?index=0,,,,
Vermillion Firebird,Unit,Elemental,1,Animal,Bury: you may bury a friendly Crystal to unearth this.,"In its mystical flight, neither blade nor spell can quench its eternal fire.",6,"E, E, E, ?, ?",Uncommon,"vermillion firebird, aflame, on fire",https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=2,https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=3,https://alpha.midjourney.com/jobs/8267de13-464b-4475-8b89-635cac0d70bd?index=0,https://alpha.midjourney.com/jobs/855584b6-ff81-449c-bfc8-776b89e2e1b6?index=0,https://alpha.midjourney.com/jobs/ce13cd47-a205-4d28-96b0-bdf906fae89f?index=0,https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=3,https://alpha.midjourney.com/jobs/a18746cf-975e-483a-9c0c-94c134cf6af2?index=1,,,
Oasisdweller,Unit,Elemental,1,Dragon Spirit,"Deploy: You may return a friendly Spirit or Warrior to your hand. If you do, draw a Card.",,3,"E, ?, ?, ?",Uncommon,"oasis dweller, giant spirit sand winged gazelle lizard, ephemeral, ghostly, ghastly, phantom, ghost, sandstorm, calm, peaceful, protective spirit, light green",https://alpha.midjourney.com/jobs/64365801-a467-48b5-80fe-b2e14b46c622?index=3,https://alpha.midjourney.com/jobs/edfa0ecc-62fe-4e23-8bad-51f3f37c3e52?index=0,https://alpha.midjourney.com/jobs/90b1ef17-1840-43a4-a96b-9d42245755e5?index=2,https://alpha.midjourney.com/jobs/4529965a-161b-46fc-84ef-11b6aa6505c0?index=1,https://alpha.midjourney.com/jobs/0c3b1178-de16-46bc-a164-f1739f41cd16?index=0,https://alpha.midjourney.com/jobs/ebc002b1-7bb9-479e-a1ce-ea1c8ddf987b?index=1,https://alpha.midjourney.com/jobs/fcedc117-8f07-44fd-9b27-38403dc905eb?index=2,https://alpha.midjourney.com/jobs/fcedc117-8f07-44fd-9b27-38403dc905eb?index=1,https://alpha.midjourney.com/jobs/61c81789-079d-4284-bc11-8f18bf858e7a?index=0,https://alpha.midjourney.com/jobs/54179720-6bdf-4c71-8029-954ac967324e?index=2
Portalrunner,Unit,Elemental Mortal,2,Human Wizard,Deploy: You may swap this with another friendly Wizard Unit. Both gain +2 Power.,"Master of spatial rifts, he strides through worlds unseen, his power a dance with the fabric of reality.",3,"E, M, ?, ?",Uncommon,,,,,,,,,,,
Cinderguard Irregulars,Unit,Elemental,1,Human Warrior,,"In the ember's glow, hooded rebels rise, defying orders with fire in their eyes.",3,"E, ?",Common,"cinderguard irregulars, heavily tattoed mexican gang members, red hood, ancient bandit",https://alpha.midjourney.com/jobs/9abdcae0-7389-454b-bde3-fb534aec9fa4?index=1,https://alpha.midjourney.com/jobs/21aae87c-bcf0-4967-94c8-66c12bd2dd5f?index=2,https://alpha.midjourney.com/jobs/ff085a28-2be3-400f-b0aa-dfbaad7ad260?index=3,https://alpha.midjourney.com/jobs/7daae98b-96af-490a-abb0-c40d53d449c6?index=1,https://alpha.midjourney.com/jobs/7dd032d6-0ed5-4d3f-926c-322526d5acea?index=3,https://alpha.midjourney.com/jobs/78be4041-6983-4fec-ac2f-158748bc0f07?index=1,https://alpha.midjourney.com/jobs/081fdde2-8231-41d5-aa5c-be3ff2f37b5d?index=2,https://alpha.midjourney.com/jobs/e641b986-4bf2-46ee-bff1-f15abfe257b6?index=0,https://alpha.midjourney.com/jobs/7f7e7244-f70d-4340-bc00-db8ba5869d51?index=0,https://alpha.midjourney.com/jobs/fe6e9b6c-1cca-4a3d-b1ff-7bb7fd6ebc36?index=0
Steelclaw Veterans,Unit,Elemental Mortal,2,Dragon Warrior,Conquer: Bury another Unit with the lowest Power in each of these Lanes.,"Clad in scars and armor alike, these dragonborn define the fine line between ferocity and valor.",6,"E, E, M, M, ?, ?",Rare,,,,,,,,,,,
Crazed Hermit,Unit,Elemental Nature,2,Human Plant,Deploy: Copy the 'Crystallize' ability of a friendly Crystal.,"A hermit no longer just a man, but a part of the forest's soul, understanding every rustle, every ripple, every breath of the wild.",5,"E, N, N, ?",Uncommon,,,,,,,,,,,
Galeweaver,Unit,Elemental,1,Spirit,Deploy: Swap an adjacent friendly Unit with the top Card of your Deck.,"As guardian of the gales, her touch is both a soothing balm and a tempest's fury, a spirit as unpredictable as the wind.",5,"E, E, ?, ?, ?, ?",Rare,"galeweaver, wind spirit, fujin, kazakame, kamaitachi",https://alpha.midjourney.com/jobs/ded5b3c8-a989-40e4-8be3-5ac67cf41736?index=0,https://alpha.midjourney.com/jobs/7f5227db-8efa-4198-aad8-a7303c4834f9?index=0,https://alpha.midjourney.com/jobs/affa39b4-9e17-48c4-8895-78b1f433b9f7?index=0,https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=3,https://alpha.midjourney.com/jobs/5b8a0ee5-409e-4609-8aba-0c49858830f9?index=0,https://alpha.midjourney.com/jobs/436c6169-6856-4831-9b5e-36c538fafa7c?index=3,https://alpha.midjourney.com/jobs/658a4dd0-bf6d-47e7-86d8-52ee52a8f214?index=2,https://alpha.midjourney.com/jobs/7bb8e808-62d2-41bb-8749-200a9089a3e9?index=2,https://alpha.midjourney.com/jobs/4ccb8031-ae89-47b6-a633-e16eac63166b?index=3,https://alpha.midjourney.com/jobs/7f81eb9e-f062-46de-9105-f93730a4e7fb?index=0
Lurking Canopystomper,Unit,Elemental Nature,0,Dinosaur Warrior,"Deploy: If there is no adjacent friendly Unit with 5 or more Power, bury this.",,8,"E, N, ?, ?, ?",Uncommon,,,,,,,,,,,
Resourceful Poacher,Unit,Elemental Nature,2,Human Hunter,"Ally of Animal, Dinosaur or Dragon: Return an adjacent Unit to its Owner's Hand and draw a Card.",Dinosaurs,4,"E, E, N, ?, ?",Uncommon,,,,,,,,,,,
Infernoblight,Unit,Elemental,1,Dragon Hunter,"Deploy: Gain Fear. Whenever a friendly Dragon Unit is deployed adjacently, gain +1 Power, and draw a Card","In the whispers of night, they speak of Infernoblight, a fiery doom awaiting at time's edge, a scorching conclusion to all stories.",4,"E, E, ?, ?, ?",Rare,"Infernoblight, an ancient evil dragon burning down a roman city, hydra, giant, primeval, majestic",https://alpha.midjourney.com/jobs/33f7cc2c-e93d-4e2c-9b65-000f7fec5b4d?index=3,https://alpha.midjourney.com/jobs/d85c9fc4-fcbf-4427-9461-c7d69924fd22?index=3,https://alpha.midjourney.com/jobs/ded1343a-822d-4000-b96d-307220437a47?index=3,https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=2,https://alpha.midjourney.com/jobs/7b986382-842d-4894-bfa5-8f3a13c28048?index=1,https://alpha.midjourney.com/jobs/3ece9766-fbca-4a9f-b43c-ceacdfd34356?index=0,https://alpha.midjourney.com/jobs/23146584-f12d-4df7-9044-bc3fddd5aed1?index=2,https://alpha.midjourney.com/jobs/e7c5e4fe-638b-4178-857e-6623f117ac1e?index=3,https://alpha.midjourney.com/jobs/d1d4e43a-6294-4cca-b9e9-a8a9b7c14773?index=2,https://alpha.midjourney.com/jobs/1b37b6ab-c626-42c3-a564-3b3f1a292370?index=3
The Skyshrieker,Unit,Elemental Nature,2,Dinosaur Warrior,Deploy: Gain Fear. You may move an adjacent Unit.,"In times of crisis, his cry pierces the heavens, a sound that spells relief for the endangered and doom for their foes.",5,"E, E, N, ?, ?",Uncommon,,,,,,,,,,,
Mistborn Serpent,Unit,Elemental,1,Dragon Wizard,,,3,"E, ?, ?",Common,"mistborn serpent, magical, hazy, dense fog, fantasy artwork",https://alpha.midjourney.com/jobs/4b0ae33e-48b0-4a70-bfe7-b7fb1ce19584?index=1,https://alpha.midjourney.com/jobs/f54cfacb-1e42-4493-ae44-75344ca090eb?index=3,https://alpha.midjourney.com/jobs/f54cfacb-1e42-4493-ae44-75344ca090eb?index=0,https://alpha.midjourney.com/jobs/dd03d379-c986-4895-b4bb-66fda0d2eb11?index=2,https://alpha.midjourney.com/jobs/7d6a21a3-e2bd-43f2-aa74-e2d49596992c?index=0,https://alpha.midjourney.com/jobs/eb3f1d41-8b02-4a4e-9e85-b717a42a61d7?index=0,https://alpha.midjourney.com/jobs/248cc2ef-d54f-4c1d-9f95-f808eebe5123?index=1,,,
Bringer of Bad Omens,Unit,Elemental Void,2,Spirit Wizard,Deploy: Obscure 2. Glimpse 2.,Obscure,0,"E, V",Uncommon,,,,,,,,,,,
Gaunt Visitation,Unit,Elemental Void,2,Undead Spirit,Ambush: A Spirit Unit was deployed adjacently this Turn. Unearth: Adjacent friendly Spirit Units gain +2 Power and Fear.,Spirits,3,"E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
Lightning Manticore,Unit,Elemental Void,0,Demon Spirit,Ritual: Bury an enemy Crystal.,"It prowls the storm-laden skies, a beast of electric dread, its allegiance as dark as the clouds it rides.",7,"E, E, V, ?, ?, ?",Uncommon,,,,,,,,,,,
