Name,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Ivoryscar Eclipsion,Divine Void,1,Angel Bannerbearer Demon,,"Where light meets shadow, purity clashes with malice, she stands, the ethereal balance of two worlds.",2,"D, V",Common,"eclipsion, duality, female, sad, otherwordly glow, black wings, pale skin, white gloves, white hair, black skirt, white corset, shadowy maelstrom in background",https://alpha.midjourney.com/jobs/219392dd-7217-4d08-88a4-07fe545e4e60?index=0,https://alpha.midjourney.com/jobs/faebf78e-524b-4699-86cf-5a06ec2912c9?index=0,https://alpha.midjourney.com/jobs/ff5ef09d-ca5a-4078-8295-e865d3f5ef86?index=1,https://alpha.midjourney.com/jobs/903c649b-d0e0-4b79-8d43-b2091e120243?index=3,https://alpha.midjourney.com/jobs/903c649b-d0e0-4b79-8d43-b2091e120243?index=0,https://alpha.midjourney.com/jobs/68687551-a06f-4550-bc88-6c49a58ac029?index=2,https://alpha.midjourney.com/jobs/ff5ef09d-ca5a-4078-8295-e865d3f5ef86?index=3,https://alpha.midjourney.com/jobs/804192d1-d6b1-471f-8286-b2c1ae535674?index=3,https://alpha.midjourney.com/jobs/c2526578-9eb7-4bfc-b6cd-0f981333543c?index=1,https://alpha.midjourney.com/jobs/12474128-0863-4da2-aff8-997b73fe9878?index=3
Fallen Angel,Divine Void,1,Angel,Deploy: Gain Ward. Ally of Void: +4 Power. Ally of Divine: +4 Power.,"Cast from heaven, embraced by the void, her power surges where light and darkness intertwine.",4,"D, D, V, V, ?, ?, ?",Rare,"Fallen Angel, female, otherwordly glow, red and black wings, pale, red glowing eyes, white hair, black armor, corrupted, bloodrust, shadowy maelstrom in background",https://alpha.midjourney.com/jobs/65856a62-0cc5-4789-aeaa-4499b714d3e5?index=0,https://alpha.midjourney.com/jobs/9062fc96-38af-4b94-bb8b-58724ee3e784?index=3,https://alpha.midjourney.com/jobs/f0b193a4-3e5e-45a0-b6e9-a1b7fcfb4f49?index=2,https://alpha.midjourney.com/jobs/2593ed6f-b67a-4e7f-a8f9-a36157ed8f86?index=1,https://alpha.midjourney.com/jobs/bce13b19-a5b7-4895-991c-a343e7295bea?index=2,https://alpha.midjourney.com/jobs/0852a4f6-c4cd-4d01-a719-8673b0ba2f74?index=1,https://alpha.midjourney.com/jobs/d19499fa-993e-4909-94ee-2b9c8761e795?index=1,https://alpha.midjourney.com/jobs/93adb4ae-5796-400d-8a5b-0445ab93be6c?index=3,https://alpha.midjourney.com/jobs/cd0a04f4-a1cb-40f4-910e-eb46d3902255?index=0,https://alpha.midjourney.com/jobs/02764ac5-6b69-4645-b186-6ada5c5faed8?index=3
Diamond Phantom,Elemental,2,Spirit Undead,Crystallize: Gain Crystalborn. Deploy: You may crystallize an adjacent friendly Unit and deploy a friendly Spirit Crystal in that Slot.,"In its ethereal form, the laws of existence bend, a testament to the enigmatic origins of the Shards of Beyond.",3,"E, E, ?",Rare,,,,,,,,,,,
Draconic Highpriest,Elemental,2,Dragon Wizard,Deploy: You may bury a friendly Dragon Unit to bury an enemy Unit with Power equal to or lower than that Dragon.,"He weaves spells of domination, his draconic thralls a fearsome testament to the power of corrupted will.",3,"E, E, ?, ?",Rare,,,,,,,,,,,
Cavern Lindwurm,Elemental,1,Dragon,Ally of 5 or more Power: Gain Taunt and +3 Power.,"Where one dragon's roar shakes the cavern, two can bring mountains to their knees.",5,"E, E, ?, ?, ?",Common,"cavern lindwurm, celtic snake dragon in a dimly lit cave, cruel, olive colored pale blind and broken scales",https://alpha.midjourney.com/jobs/4cc82fb7-ff66-4625-86b9-bd6b6019e512?index=2,https://alpha.midjourney.com/jobs/172ae98b-46c0-4825-b85b-219a47dfecc0?index=2,https://alpha.midjourney.com/jobs/ab137782-70f1-4ba3-840a-49cf4fda7bbe?index=3,https://alpha.midjourney.com/jobs/2780038d-6258-4c7a-a5e0-700cdfe423f9?index=0,https://alpha.midjourney.com/jobs/20fb2d42-8fe0-4690-82e2-b7936769540e?index=1,https://alpha.midjourney.com/jobs/bb160c1d-6202-4543-88a9-152dadcce248?index=2,https://alpha.midjourney.com/jobs/42ab612c-d4a4-4640-b0eb-a0098355068a?index=2,https://alpha.midjourney.com/jobs/42ab612c-d4a4-4640-b0eb-a0098355068a?index=1,https://alpha.midjourney.com/jobs/da9010de-44c1-42bf-8bbc-f7eb026c1882?index=2,https://alpha.midjourney.com/jobs/bdfca501-4b58-4f97-83e7-bcf89c7e7f5e?index=0
Cheerful Pixies,Elemental,1,Spirit Wizard,Deploy: Another friendly Elemental Unit in this Lane gains Taunt and +1 Power.,"With giggles and pranks, they lure foes closer, their laughter as entrancing as it is maddening.",1,E,Common,"tiny fairy, mongolian, cheerful, with butterfly wings, in the forest, sitting in a flower, very small",https://alpha.midjourney.com/jobs/5af4932e-1176-4e5d-a15a-6e1142f73928?index=2,https://alpha.midjourney.com/jobs/e6e0a2be-8317-493d-9a2a-cb227f34a270?index=0,https://alpha.midjourney.com/jobs/a530c54d-e253-4627-adf2-00999c92b877?index=1,https://alpha.midjourney.com/jobs/05e7dc87-7c7f-400d-b1d6-3bce616d0bfb?index=0,https://alpha.midjourney.com/jobs/a0c2bdad-9975-4339-8646-d109edd1ea08?index=0,https://alpha.midjourney.com/jobs/e7a204c6-76d5-4cd7-9a02-e06393503315?index=2,https://alpha.midjourney.com/jobs/36d433e2-f591-4ea5-b62a-5cb266b18ca8?index=3,https://alpha.midjourney.com/jobs/e7a204c6-76d5-4cd7-9a02-e06393503315?index=0,https://alpha.midjourney.com/jobs/05e7dc87-7c7f-400d-b1d6-3bce616d0bfb?index=2,https://alpha.midjourney.com/jobs/b96d47c1-e03b-4dad-bc97-123945866ebe?index=3
Cinderguard Scribe,Elemental,1,Human,Deploy: Choose one: - Glimpse 1. - Gain +1 Power.,"From his quill flows the ink of revolution, as fiery as the red hoods that mark their cause.",1,E,Common,"cinderguard scribe heavily tattooed mexican gang member, female, red hood, ancient bandit, thoughtfully looking at a scroll",https://alpha.midjourney.com/jobs/3583fb04-e10f-4436-a53d-ac6033c51e68?index=3,https://alpha.midjourney.com/jobs/9bfd0617-c169-4772-bad8-21583764dcf1?index=1,https://alpha.midjourney.com/jobs/bd88a85c-62e5-4ed4-9515-3411b61e2af9?index=2,https://alpha.midjourney.com/jobs/3506fd93-a468-430b-b68e-56e0adb3bfa1?index=3,https://alpha.midjourney.com/jobs/c5421a0e-601f-4a74-bd6d-431efe095978?index=2,https://alpha.midjourney.com/jobs/522c30ba-cd4c-47ac-8df5-bc6a0c728eef?index=0,https://alpha.midjourney.com/jobs/f9350fe6-d4bf-4a09-be2d-6d486b1be787?index=3,https://alpha.midjourney.com/jobs/6364f253-c9ef-441f-a5a5-5cd35f3f48b4?index=2,https://alpha.midjourney.com/jobs/6364f253-c9ef-441f-a5a5-5cd35f3f48b4?index=1,https://alpha.midjourney.com/jobs/7438c9cc-d782-4fee-9713-d3f301d7df3e?index=1
Daredevil Duo,Elemental,1,Dragon Human,Crystallize and Deploy: Another friendly Unit gains Taunt.,"Where her courage leads, dragon fire follows - a ballet of blade and blaze, unmatched.",5,"E, E, ?, ?, ?, ?",Common,"daredevil duo, a dragon and a female asian pirate swordfighter wearing a red sash",https://alpha.midjourney.com/jobs/7e117333-a3b5-48ce-84fb-ea1d5889f52c?index=3,https://alpha.midjourney.com/jobs/97f8b1ac-677e-491b-803f-a08321d0a5b3?index=0,https://alpha.midjourney.com/jobs/9b9f1932-7b85-4dc2-b89b-c5db313881fe?index=1,https://alpha.midjourney.com/jobs/97d76fab-e567-498a-9cd5-fce2669c45a7?index=1,https://alpha.midjourney.com/jobs/e476fa49-0867-4ba0-b9df-543b391f48db?index=0,https://alpha.midjourney.com/jobs/c55ff963-8780-49f5-820d-fdb412bd03ab?index=3,https://alpha.midjourney.com/jobs/ecf46218-d382-4bbc-897b-729a460f33de?index=0,https://alpha.midjourney.com/jobs/02663ec4-f725-4dc6-b3bf-a41c24089531?index=2,https://alpha.midjourney.com/jobs/960b0142-dad3-4a5e-9497-c50337bfa517?index=0,https://alpha.midjourney.com/jobs/41adfac4-fb2e-4621-a9ff-3a8e7c83e591?index=3
Echo Beetle,Elemental,0,Construct Insect,"Whenever a Unit is deployed adjacently, swap it with that Unit.","Note: Observing the beetle, I feel observed in return. Its awareness hints at unseen depths in insect cognition.",2,"E, ?",Uncommon,,,,,,,,,,,
Ember Whelp,Elemental,2,Dragon Spirit,Ascend: Dragon or Spirit. Deploy: Unleash <E><E><E>: Gain +3 Power.,"Log #21: The whelp's playmates are not of flesh and scale but of spirit and air. It frolics with entities invisible to our eyes, a curious talent.",1,"E, ?, ?",Common,,,,,,,,,,,
Floating Djinn,Elemental,2,Spirit,Start of your Turn: You may bury this to draw a Card.,"Charged with storm's fury, he dances between thunder and lightning's embrace.",2,"E, ?",Common,,,,,,,,,,,
Dewdrop Sprite,Elemental,1,Spirit,"Whenever a friendly Elemental Unit is deployed adjacently, gain +2 Power.","In each glistening drop, a glint of magic, as fleeting and pure as morning's first light.",1,"E, ?",Common,"dewdrop sprite, mongolian fairy, in the mountains, wings made of dew drops",https://alpha.midjourney.com/jobs/f82cb067-a26e-43e4-a7b7-872ad83abf92?index=1,https://alpha.midjourney.com/jobs/8fbe44e4-705c-4ee4-adbc-6e435546facc?index=3,https://alpha.midjourney.com/jobs/bce87206-d1bc-4ae5-b2a8-99df10be783b?index=3,https://alpha.midjourney.com/jobs/bce87206-d1bc-4ae5-b2a8-99df10be783b?index=2,https://alpha.midjourney.com/jobs/a9cd8a18-681f-4ef7-927f-65a2d9169d26?index=0,https://alpha.midjourney.com/jobs/9f273a40-8ff4-4686-8521-a3d630b0eaf9?index=1,https://alpha.midjourney.com/jobs/7c0c6fe5-3d11-46e9-9fb2-27a3e4ad98d5?index=3,https://alpha.midjourney.com/jobs/7c0c6fe5-3d11-46e9-9fb2-27a3e4ad98d5?index=0,https://alpha.midjourney.com/jobs/e3dc4ec9-31d3-451f-b89d-f3942b80c042?index=2,https://alpha.midjourney.com/jobs/7a2e29fb-bd98-4d30-88b2-8bfee70c4a47?index=0
Dragon Egg,Elemental,1,Dragon,Ambush: A Player conquered this Lane this Turn.,"Cracks in the egg foretell the birth of a legend, a creature born from flame and scale.",2,E,Common,"stony egg with red scaled structure, in a large nest in the mountains",https://alpha.midjourney.com/jobs/a4c0044f-a986-4aa9-87bf-000b67966a4b?index=0,https://alpha.midjourney.com/jobs/1368b59f-6a3a-4f37-b704-dc0023c5a39b?index=0,https://alpha.midjourney.com/jobs/1368b59f-6a3a-4f37-b704-dc0023c5a39b?index=3,https://alpha.midjourney.com/jobs/3e4015d3-c57e-4d12-9ddb-df5fcfb9d19d?index=0,,,,,,
Dustdance Efreet,Elemental,1,Spirit,Deploy: You may swap this with an adjacent enemy Unit.,"A sinister waltz in the dust, its dance is a trap for the unwary, a lure into the endless, shifting dunes.",3,"E, E, ?, ?",Common,"dust-elemental efreet, djinn, mongolian",https://alpha.midjourney.com/jobs/ccfe11ca-d68d-42dd-b1cd-d5aa6d3c9b8b?index=2,https://alpha.midjourney.com/jobs/ccfe11ca-d68d-42dd-b1cd-d5aa6d3c9b8b?index=0,https://alpha.midjourney.com/jobs/fdd4f64e-d836-4c8f-9358-77cc88394b13?index=1,https://alpha.midjourney.com/jobs/f309aeec-173a-46f1-b16b-f5f15141815a?index=0,https://alpha.midjourney.com/jobs/f309aeec-173a-46f1-b16b-f5f15141815a?index=2,https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=2,https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=0,https://alpha.midjourney.com/jobs/f14bf8bf-3033-40a6-9792-dd0d2005d4a4?index=1,https://alpha.midjourney.com/jobs/1113a14a-e98b-4368-b526-2939a08de537?index=2,https://alpha.midjourney.com/jobs/2c70cf34-6786-4493-bc7e-731c0f15efba?index=1
Hermit of the Horizon,Elemental,2,Wizard,"Crystallize: If you control a Wizard Unit, glimpse 3.","In his lofty retreat, he communes with the winds of fate, a guardian of knowledge perched at the edge of the world.",5,"E, ?, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Roughlands Scourge,Elemental,1,Dragon Spirit,Deploy: Gain Fear.,"Where its shadow falls, terror takes root, a draconic tyrant of the barren lands.",4,"E, ?, ?, ?",Common,"dragon, red body, black quills with white tips, wasteland, porcupine, cruel, fierce",https://alpha.midjourney.com/jobs/30dad8d4-0f43-43a0-b5ad-94bc8b2c85d6?index=2,https://alpha.midjourney.com/jobs/6cad6adc-2697-4145-bdf0-efa0bf788436?index=2,https://alpha.midjourney.com/jobs/6cad6adc-2697-4145-bdf0-efa0bf788436?index=0,https://alpha.midjourney.com/jobs/3583175b-766d-4e6f-b226-cb8e97cd3444?index=2,https://alpha.midjourney.com/jobs/9d3996dd-4cd9-4c61-9f0b-73b38822ab56?index=1,https://alpha.midjourney.com/jobs/26ae93ba-7660-44de-bc98-ff1f7b0710bb?index=0,https://alpha.midjourney.com/jobs/add90753-1409-4816-a77b-7200b76c544f?index=3,https://alpha.midjourney.com/jobs/dc135f3d-8b66-4450-857e-ed4b64a3e949?index=1,https://alpha.midjourney.com/jobs/f552819f-bae0-4fdc-aec9-3c948fadca96?index=0,https://alpha.midjourney.com/jobs/93fb8cdb-1f21-49e7-be26-dc8ba099f499?index=3
Mirrorworld Bloodseeker,Elemental,2,Demon Spirit,Crystallize: Unleash <V><V><V>: Deploy this in an empty Slot. Deploy: Gain Taunt.,Unleash,3,"E, ?, ?",Uncommon,,,,,,,,,,,
Mountain Sage,Elemental,2,Plant Wizard,Deploy: Draw the top Wizard of your Deck. Shuffle your Deck.,"Rooted in ancient wisdom and the earth's deep secrets, his knowledge is as vast as the mountains he embodies.",2,"E, ?, ?",Uncommon,,,,,,,,,,,
Nimbus Claw,Elemental,0,Animal Hunter,Conquer: Glimpse 3.,Lead,2,"E, ?",Common,,,,,,,,,,,
Omen Firefly,Elemental,2,Insect,Start of your Turn: You may bury this to obscure 2.,Obscure,1,E,Common,,,,,,,,,,,
Pixie Summoner,Elemental,2,Human Wizard,Deploy: Unleash <E><E>: Move an adjacent Unit. Gain Taunt.,Unleash,4,"E, ?, ?, ?",Common,,,,,,,,,,,
Pyretic Pet,Elemental,2,Dragon Wizard,Ally of Wizard: You may return the Ally to your Hand to deploy a Unit from your Hand.,"""'This is why we can't have nice things,' I muttered as the tapestries turned to ashes. My dragon's purr was the only reply, pleased with its redecoration.""",3,"E, E, ?",Rare,,,,,,,,,,,
Shifting Sands,Elemental,1,Spirit,"Ambush: This Turn, a Unit was deployed adjacently. Unearth: Move an adjacent Unit.",,3,"E, ?, ?, ?",Common,"shifting sands, mystical, ephemeral energies, dustdevil, desert elemental, whirlwind",https://alpha.midjourney.com/jobs/8b1af36f-4004-4f76-8321-39eadf6994de?index=1,https://alpha.midjourney.com/jobs/6b2dd4db-47bc-4351-b9cb-56165501015d?index=0,https://alpha.midjourney.com/jobs/04b6c714-4150-4b67-bc7b-3b77d214c80e?index=1,https://alpha.midjourney.com/jobs/fef152fe-a54f-4993-8c0b-bdc6b255ff50?index=1,https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=3,https://alpha.midjourney.com/jobs/a3b699ae-45ef-4e90-9cb6-6448c1dd6ef3?index=2,https://alpha.midjourney.com/jobs/f4b87c3a-3e3c-48fa-b94a-c0514613a2cd?index=3,https://alpha.midjourney.com/jobs/cea0e01e-1930-45b5-b5c8-3ad52ddb3142?index=3,https://alpha.midjourney.com/jobs/ca73b5bd-6fc1-4339-9285-ae03c13a5f5d?index=0,https://alpha.midjourney.com/jobs/f43fb0f9-219d-46ea-84e7-cebd02ca67fd?index=3
Torii Spirit,Elemental,1,Construct Spirit,Deploy: Unleash <E><E><E>: Gain Fear and Ward.,Unleash,3,"E, ?, ?",Common,"torii spirit, spirit sitting ontop of a torii gate, yokai, ghost, ethereal, see-through, gentle, benevolent, cute, adorable, colorful",https://alpha.midjourney.com/jobs/855d9ad2-60fa-4317-90d5-dde695aa3863?index=2,https://alpha.midjourney.com/jobs/ef31c8de-f61e-4972-86e9-aa9f1831afd5?index=0,https://alpha.midjourney.com/jobs/8785718a-3cef-4d6b-adf4-3f611a3b965e?index=2,https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=1,https://alpha.midjourney.com/jobs/f0a7e593-e8a3-49a4-9357-69927b40e0a8?index=0,https://alpha.midjourney.com/jobs/677914ad-f8cb-4855-b453-f47da8640844?index=0,https://alpha.midjourney.com/jobs/0c2fcc58-1cd5-4e2c-9953-06ae99527acc?index=3,https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=3,https://alpha.midjourney.com/jobs/cb83f03b-5441-4ab6-acd4-d6c23cfbf1b0?index=1,https://alpha.midjourney.com/jobs/11cea0b5-15f6-46ea-9c98-85147c5d0c1d?index=2
Red Crusader,Elemental,2,Warrior,"Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.",Crusader,2,"E, ?",Common,,,,,,,,,,,
Windkite Acolyte,Elemental,1,Human Wizard,Deploy: You may swap this with an adjacent friendly Unit and gain +2 Power.,"Soaring on ancient breezes, this acolyte wields the wisdom of the wind.",2,"E, ?, ?, ?",Common,"bhuddist monk, riding a huge kite, flying through the sky, kite attached to hís back",https://alpha.midjourney.com/jobs/ec1fb5cf-b226-482a-9fd2-005d6f927846?index=1,https://alpha.midjourney.com/jobs/c502c751-ced3-4cb3-aa77-ce7cf3c560d4?index=0,https://alpha.midjourney.com/jobs/15eb18a9-adcc-4ad5-bb1a-b9ca187fa7e5?index=1,https://alpha.midjourney.com/jobs/91bb5265-1010-4c14-8a17-c124ec7328be?index=3,https://alpha.midjourney.com/jobs/3459e7cd-50f2-4130-be4c-42546280c0e7?index=3,https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=1,https://alpha.midjourney.com/jobs/f6913507-2389-4765-a6a4-189bde5ce495?index=2,https://alpha.midjourney.com/jobs/1be84c96-df08-4398-88f9-09e5ad8ff402?index=2,https://alpha.midjourney.com/jobs/59d1a1e1-529a-4cc6-b261-fdc197b29a2b?index=1,https://alpha.midjourney.com/jobs/33065fbd-b99a-477c-aeda-1e82ea951a22?index=3
Blood Moon Scarab,Elemental,1,Insect,"Whenever a Unit in this Lane is unearthed, gain its Power.",,2,"E, E, ?",Rare,"blood moon scarab, insect, scuttling around, ancient mountain ruins",https://alpha.midjourney.com/jobs/f076bedf-28b1-43a4-bdf8-5e57ad378122?index=3,https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=0,https://alpha.midjourney.com/jobs/2245d2f9-6faa-4d4c-9ddb-94e018ca54af?index=2,https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=1,https://alpha.midjourney.com/jobs/8c7e4ea8-e35f-4309-86b6-e6a9f1efaecb?index=2,https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=1,https://alpha.midjourney.com/jobs/ae00d456-a481-4034-a8c2-fdb97fffe7f6?index=2,https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=3,https://alpha.midjourney.com/jobs/78ae5a97-8656-4c23-992f-61f8947a1950?index=2,https://alpha.midjourney.com/jobs/237ccf0b-0f9d-4e23-b6d4-df327207e61c?index=1
Sand Witch,Elemental,2,Human Wizard,Ascend: Elemental.,Ascend,1,E,Common,,,,,,,,,,,
Shardhorde Galewhelp,Elemental,0,Dragon,Deploy: Unleash <E><E><E>: You may crystallize this and deploy another friendly Dragon Crystal into this Slot.,"In its youth, a mere gust; in its fury, a tempest – such is the nature of the Shardhorde's child.",3,"E, ?, ?",Common,,,,,,,,,,,
Amberlock Dragonling,Elemental,2,Dragon,Ritual: Gain +4 Power.,"Clutched in youthful talons lies a fragment of legend, making each hunt not just a pursuit for prey, but a dance with destiny.",2,"E, ?",Common,"amberlock dragonling, baby dragon, climbing out of a dragon egg, cute, adorable, colorful",https://alpha.midjourney.com/jobs/31869c2e-79e0-44a2-bcb2-ef2489f226ad?index=3,https://alpha.midjourney.com/jobs/86e09484-75c2-4d9e-b33e-31faa3d4e251?index=2,https://alpha.midjourney.com/jobs/68e2c61d-f9ac-435e-8eb9-44ef82724758?index=1,https://alpha.midjourney.com/jobs/02a937b0-dc30-4b61-a80a-775950a47d1e?index=0,https://alpha.midjourney.com/jobs/f8926069-73ab-4045-b918-9cb77758a03b?index=3,https://alpha.midjourney.com/jobs/a02f660a-1dce-436f-acb5-465e63f5bbc5?index=1,https://alpha.midjourney.com/jobs/0e687280-8a8e-4bab-ba7e-71eecfd6f625?index=2,https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=3,https://alpha.midjourney.com/jobs/5e110d2e-a7e4-436b-bb11-4fb86e1580e9?index=2,https://alpha.midjourney.com/jobs/750ed738-29ba-42b6-8f6f-d878ddac70d4?index=1
Dragonfire Warlock,Elemental,1,Human Wizard,Ally of Dragon: Unleash <E><E>: Bury an adjacent enemy Unit.,"With incantations smoldering on his tongue, he breathes out not words, but the fire of dragons.",2,"E, ?, ?",Uncommon,"dragonfire warlock, bhuddist fire summoning warlock",https://alpha.midjourney.com/jobs/e1671c8d-c48c-402d-addf-9a0fccad1761?index=0,https://alpha.midjourney.com/jobs/ba533218-851c-4bf4-a8d6-1d40dd59d983?index=0,https://alpha.midjourney.com/jobs/01e8e033-593c-490d-a32f-a166ab8baa48?index=2,https://alpha.midjourney.com/jobs/5eca18e5-b521-4e2a-9848-bc98673ae4d2?index=0,https://alpha.midjourney.com/jobs/914ae491-f842-47a7-972e-d9a4a84c90f6?index=0,https://alpha.midjourney.com/jobs/50351124-cb8d-40c5-ba32-ab7ed7975d03?index=3,https://alpha.midjourney.com/jobs/9b90030e-860f-496a-a734-a45969d1b0dd?index=1,https://alpha.midjourney.com/jobs/54eedfaf-453e-4a49-bd5b-d4012761a293?index=1,https://alpha.midjourney.com/jobs/6e8217f3-8ac2-45b0-8dc4-ef5352b479ea?index=2,https://alpha.midjourney.com/jobs/12dd80f9-bb06-4d38-91d8-e146559471c0?index=0
Dragonwind Harbinger,Elemental,1,Spirit Wizard,Deploy: Draw the top Dragon of your Deck. Shuffle your Deck.,"In his eerie lament lies the fate of worlds, a grim herald of the dragonfire that will consume all.",3,"E, ?, ?, ?",Uncommon,"wind harbinger, fire spirit searching the essence of ember, glowing skin, ghost, ephemeral, banshee, female, primeval, translucent, primal",https://alpha.midjourney.com/jobs/e4901e8f-dc64-4a32-8b4e-4db18f9edb34?index=2,https://alpha.midjourney.com/jobs/792d59ef-82cf-4773-9eb4-65105c9208ec?index=2,https://alpha.midjourney.com/jobs/61d71d29-7f19-4719-9f9d-b595a90e7eac?index=3,https://alpha.midjourney.com/jobs/8f47bfa6-8da8-478d-aba1-dff1a5520f1c?index=0,https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=3,https://alpha.midjourney.com/jobs/841174db-5c68-41e8-819a-09fa028c5943?index=0,https://alpha.midjourney.com/jobs/53760255-c6fe-4c4c-ac76-95aa017993f9?index=1,https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=0,https://alpha.midjourney.com/jobs/87f09264-db69-471c-a5b1-db98d924778f?index=3,https://alpha.midjourney.com/jobs/b5789562-2e2e-4ceb-8443-0ae424a3c7dd?index=3
Sparkwielder,Elemental,2,Dragon Wizard,"Deploy: Reveal the top Card with an 'Unleash' ability from your Deck. Copy its 'Unleash' ability, then draw that Card.",Unleash,4,"E, E, ?, ?, ?",Rare,,,,,,,,,,,
Gashopper,Elemental,1,Insect Wizard,"Deploy: For each friendly Elemental Crystal, you may put a Card from your Hand to the bottom of your Deck and draw a Card.","Enhanced by sulfuric geysirs, each of its eyes sees another future.",4,"E, E, ?, ?, ?, ?",Uncommon,"gashopper, grasshopper, insect druid, glowing eyes, energetic, bark skin, otherwordly, steaming body",https://alpha.midjourney.com/jobs/aa3828cc-da5b-44fd-a991-7dfa8d358eca?index=1,https://alpha.midjourney.com/jobs/bb66d639-f343-4845-af2a-5eb193006647?index=0,https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=0,https://alpha.midjourney.com/jobs/9d22a6ef-3cfd-4390-83a1-bcb607bfc60e?index=2,https://alpha.midjourney.com/jobs/4a4fcd20-cf99-4f08-98be-e4a9a21447fd?index=2,https://alpha.midjourney.com/jobs/edce3cff-dccc-4dd6-927a-c86b99379750?index=1,https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=1,https://alpha.midjourney.com/jobs/712bc1b1-a311-4c9e-8fd3-9084faf62db5?index=2,https://alpha.midjourney.com/jobs/0ac155c4-dccd-49ea-a6ba-b70dd8d8e9a3?index=2,https://alpha.midjourney.com/jobs/4675fbf5-6bfc-4c8a-9092-aaf4e3643f28?index=2
Hailbringer,Elemental,2,Spirit,Deploy: Put an adjacent enemy Unit on the bottom of your Opponent's Deck. Move the top Card of your Opponent's Deck into that Slot.,"In his grasp, the calmest breeze becomes a maelstrom, a whirlwind of chaos at his command",5,"E, E, ?, ?, ?, ?",Rare,,,,,,,,,,,
Stormlash,Elemental,2,Dragon Hunter,Deploy: Unleash <E><E><E>: You may move all adjacent enemy Units.,"He is the tempest incarnate, a draconic force that reshapes landscapes with the mere beat of his wings.",4,"E, ?, ?, ?",Uncommon,,,,,,,,,,,
Stormworn Horn,Elemental,2,Dinosaur,"Ally of Elemental: Draw three Cards. At the End of this Turn, put three Cards from your Hand at the bottom of your Deck.","Rare is the sight of the horned earth-digger, a creature whose very existence challenges our understanding of the natural world. It uses its horn in a manner most ingenious, excavating the ground for hidden morsels.",3,"E, ?, ?, ?",Uncommon,,,,,,,,,,,
Glinteye Hoarder,Elemental,1,Dragon,Conquer: Draw 2 Cards and bury a friendly Crystal.,A dragon's passion for gold cast into living form.,5,"E, E, ?, ?, ?",Uncommon,"glinteye hoarder, golden dragon, dragon with golden scales, sitting on a pile of gems",https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=0,https://alpha.midjourney.com/jobs/8ccfe4e3-0dd5-4f9c-be98-1629ec29694f?index=2,https://alpha.midjourney.com/jobs/47e93cbb-0e71-491a-a49b-5685172b96b1?index=2,https://alpha.midjourney.com/jobs/c0bbf41e-da40-447a-8817-ba761c755907?index=1,https://alpha.midjourney.com/jobs/e27864a6-cc07-4984-b181-922b584c0d96?index=3,https://alpha.midjourney.com/jobs/0a1168a7-16a3-4022-b822-fd13a508a624?index=0,https://alpha.midjourney.com/jobs/e30e77bd-955e-4e8e-afe4-eae7161982c4?index=3,https://alpha.midjourney.com/jobs/eaad0536-abea-4999-883c-e3e793929cf4?index=3,https://alpha.midjourney.com/jobs/a3874385-0194-4c0f-ba14-08b4d7628a67?index=1,https://alpha.midjourney.com/jobs/8c585bc8-5180-439e-8adb-c3a47c0150fe?index=2
The Culling Claw,Elemental,2,Demon Dragon,"Crystallize: Gain Crystalborn. Whenever a Common Unit is deployed adjacently, bury it and gain its Power.",,3,"E, E, ?, ?",Rare,,,,,,,,,,,
Thunderfox,Elemental,2,Animal Spirit,Start of your Turn: You may bury this to give an adjacent friendly Unit +2 Power.,"Elusive as a spark in the storm, training it as a pet is a quest akin to capturing lightning itself.",3,"E, ?, ?",Common,,,,,,,,,,,
